tipo_identificacion,numero_identificacion,numero_cuenta,nombres,tipo_transaccion,monto_transaccion,tipo_producto,ciudad,fecha_hora,fecha_nacimiento,direccion_cliente,telefono_cliente,correo_cliente,reporte_centrales_riesgo,monto_reporte_central_riesgo,tiempo_mora_reporte_riesgo,alerta_fecha_nacimiento,alerta_fecha_futura,alerta_correo_invalido,alerta_telefono_invalido,alerta_direccion_invalida,alerta_monto_negativo,alerta_tipo_desconocido,total_alertas
PAS,270485153,7612900309,Cliente635 Méndez,Depósito,74798,Préstamo personal,Bucaramanga,2024-02-28 01:09:49,1800-01-01,Diagonal 55 #38-32,3788799824,,No,,sin_mora,True,False,False,False,False,False,False,1
CC,672015892,2961511635,Cliente637 Torres,Transferencia,4306349,Préstamo personal,Pereira,2024-02-28 21:16:59,1800-01-01,Diagonal 127 #33-16,3314548015,cliente637.806@yahoo.com,No,,sin_mora,True,False,False,False,False,False,False,1
PAS,469772082,1264984308,Cliente643 Pérez,Pago,16505,Préstamo personal,Barranquilla,2024-02-28 10:39:27,1800-01-01,Diagonal 134 #63-24,3788644799,cliente643.199@outlook.com,Sí,224641.0,60 días,True,False,False,False,False,False,False,1
TI,620603082,7097657868,Cliente648 Pérez,Transferencia,887046,Cuenta de ahorros,Medellín,2024-02-28 21:35:52,1800-01-01,Carrera 11 #79-19,3522139079,,No,,sin_mora,True,False,False,False,False,False,False,1
PAS,678673815,9688298552,Cliente649 Torres,Depósito,1157874,Inversión,Medellín,2024-02-28 21:27:29,1800-01-01,Carrera 35 #59-11,3769695800,cliente649.280@mail.com,Sí,659287.0,120 días,True,False,False,False,False,False,False,1
CC,601693868,1590493546,Cliente658 Méndez,Retiro,4473876,Tarjeta de crédito,Bucaramanga,2024-02-28 17:41:26,1800-01-01,Diagonal 64 #31-17,3699050744,,Sí,131429.0,60 días,True,False,False,False,False,False,False,1
PAS,633556685,6521566478,Cliente664 Ramírez,Transferencia,528840,Préstamo personal,Cali,2024-02-28 18:20:22,1800-01-01,Calle 138 #81-4,3290671137,,Sí,665880.0,30 días,True,False,False,False,False,False,False,1
CC,631615823,8892387848,Cliente675 Méndez,Transferencia,4898674,Cuenta corriente,Cartagena,2024-02-28 01:58:50,1800-01-01,Carrera 114 #57-38,3102204338,,No,,sin_mora,True,False,False,False,False,False,False,1
CC,235694964,2128810412,Cliente681 Pérez,Pago,251180,Préstamo personal,Barranquilla,2024-02-28 17:51:49,1800-01-01,Diagonal 98 #24-29,3299715740,cliente681.41@gmail.com,No,,sin_mora,True,False,False,False,False,False,False,1
CE,310499400,2962687219,Cliente682 Méndez,Transferencia,2957320,Préstamo personal,Medellín,2024-02-28 05:36:35,1800-01-01,Carrera 122 #25-16,3619448127,cliente682.875@mail.com,Sí,204632.0,90 días,True,False,False,False,False,False,False,1
CC,392939259,7708300906,Cliente710 Méndez,Transferencia,2418887,Cuenta de ahorros,Bogotá,2024-02-28 00:01:12,1800-01-01,Calle 65 #7-13,3951573879,cliente710.658@outlook.com,No,,sin_mora,True,False,False,False,False,False,False,1
CE,173761672,5933658619,Cliente714 Méndez,Transferencia,3733252,Tarjeta de crédito,Cartagena,2024-02-28 01:17:37,1800-01-01,Carrera 86 #53-29,3443129708,,Sí,946874.0,30 días,True,False,False,False,False,False,False,1
PAS,331543875,4201381695,Cliente727 Gómez,Retiro,4995527,Préstamo personal,Medellín,2024-02-28 13:26:44,1800-01-01,Calle 23 #63-42,3251549013,cliente727.241@mail.com,Sí,640761.0,120 días,True,False,False,False,False,False,False,1
CE,376212144,9917156817,Cliente731 Pérez,Retiro,1415523,Cuenta de ahorros,Cartagena,2024-02-28 02:30:06,1800-01-01,Carrera 75 #35-27,3322992694,cliente731.698@gmail.com,Sí,568886.0,120 días,True,False,False,False,False,False,False,1
CC,775590673,1305600847,Cliente742 Pérez,Pago,2131432,Tarjeta de crédito,Bucaramanga,2024-02-28 15:33:32,1800-01-01,Avenida 32 #62-32,3451202854,cliente742.16@mail.com,Sí,174702.0,120 días,True,False,False,False,False,False,False,1
CC,138240001,8933356864,Cliente747 Ramírez,Depósito,345623,Préstamo personal,Barranquilla,2024-02-28 23:09:41,1800-01-01,Diagonal 127 #19-6,3983641951,cliente747.27@gmail.com,Sí,848453.0,90 días,True,False,False,False,False,False,False,1
TI,827619684,4852848409,Cliente758 Torres,Transferencia,4252046,Cuenta de ahorros,Bucaramanga,2024-02-28 10:27:36,1800-01-01,Avenida 38 #57-2,3941356176,cliente758.557@yahoo.com,No,,sin_mora,True,False,False,False,False,False,False,1
CC,359445680,2777735522,Cliente775 Méndez,Depósito,4114790,Cuenta de ahorros,Medellín,2024-02-28 04:55:16,1800-01-01,Calle 65 #78-39,3179771842,,No,,sin_mora,True,False,False,False,False,False,False,1
TI,561928589,4564713195,Cliente777 Pérez,Compra,1216553,Tarjeta de crédito,Bucaramanga,2024-02-28 08:18:40,1800-01-01,Avenida 49 #61-6,3102314000,,Sí,671555.0,30 días,True,False,False,False,False,False,False,1
TI,921163737,4219701009,Cliente781 Gómez,Retiro,3440764,Inversión,Pereira,2024-02-28 08:23:51,1800-01-01,Calle 17 #89-43,3807544146,,No,,sin_mora,True,False,False,False,False,False,False,1
CC,229519399,8553534822,Cliente792 Torres,Transferencia,503570,Préstamo personal,Barranquilla,2024-02-28 14:25:23,1800-01-01,Carrera 71 #38-21,3369806655,cliente792.143@mail.com,Sí,305530.0,30 días,True,False,False,False,False,False,False,1
CE,530514219,7369025315,Cliente801 Méndez,Transferencia,2329122,Cuenta de ahorros,Barranquilla,2024-02-28 16:47:30,1800-01-01,Diagonal 42 #38-8,3914107434,cliente801.88@gmail.com,No,,sin_mora,True,False,False,False,False,False,False,1
TI,357770110,2947426440,Cliente810 Torres,Retiro,3500685,Cuenta corriente,Barranquilla,2024-02-28 23:11:57,1800-01-01,Diagonal 101 #27-24,3189367139,cliente810.520@outlook.com,Sí,632999.0,90 días,True,False,False,False,False,False,False,1
TI,539294608,1613083297,Cliente812 Gómez,Transferencia,902716,Tarjeta de crédito,Pereira,2024-02-28 06:39:30,1800-01-01,Diagonal 13 #2-36,3592962251,,Sí,970941.0,90 días,True,False,False,False,False,False,False,1
TI,227528273,3105387680,Cliente817 Méndez,Depósito,1343115,Préstamo personal,Cali,2024-02-28 15:45:37,1800-01-01,Avenida 71 #95-4,3150058012,cliente817.889@yahoo.com,No,,sin_mora,True,False,False,False,False,False,False,1
CC,311472632,1158447535,Cliente824 Torres,Retiro,351617,Préstamo personal,Bucaramanga,2024-02-28 15:23:42,1800-01-01,Avenida 2 #10-41,3584247560,,No,,sin_mora,True,False,False,False,False,False,False,1
CC,993115575,8826016137,Cliente834 Méndez,Pago,963815,Préstamo personal,Cali,2024-02-28 16:15:26,1800-01-01,Carrera 3 #54-39,3511283232,cliente834.737@outlook.com,No,,sin_mora,True,False,False,False,False,False,False,1
CE,568803450,4640568049,Cliente835 Gómez,Compra,593479,Tarjeta de crédito,Barranquilla,2024-02-28 21:33:36,1800-01-01,Diagonal 7 #74-18,3359922372,cliente835.823@yahoo.com,No,,sin_mora,True,False,False,False,False,False,False,1
CE,461492574,7001464750,Cliente844 Torres,Retiro,4577336,Cuenta corriente,Cartagena,2024-02-28 14:06:25,1800-01-01,Diagonal 6 #59-13,3232800359,cliente844.697@yahoo.com,No,,sin_mora,True,False,False,False,False,False,False,1
PAS,573233126,1692604938,Cliente848 Pérez,Compra,1924758,Inversión,Medellín,2024-02-28 19:17:41,1800-01-01,Avenida 138 #46-41,3144875652,,No,,sin_mora,True,False,False,False,False,False,False,1
CC,504591822,9809596057,Cliente896 Ramírez,Depósito,4703390,Cuenta corriente,Barranquilla,2024-02-28 15:44:33,1800-01-01,Calle 54 #21-14,3672060206,,Sí,248926.0,90 días,True,False,False,False,False,False,False,1
TI,959822055,3968796804,Cliente897 Ramírez,Depósito,1459018,Tarjeta de crédito,Barranquilla,2024-02-28 06:58:54,1800-01-01,Carrera 82 #87-43,3801705517,,Sí,85351.0,90 días,True,False,False,False,False,False,False,1
CC,103106187,1214974969,Cliente900 Pérez,Transferencia,3942617,Préstamo personal,Cartagena,2024-02-28 23:28:32,1800-01-01,Avenida 13 #50-35,3311029795,cliente900.752@gmail.com,No,,sin_mora,True,False,False,False,False,False,False,1
TI,384282084,6273985755,Cliente907 Pérez,Compra,2764365,Préstamo personal,Barranquilla,2024-02-28 10:19:09,1800-01-01,Calle 69 #15-45,3400071648,,No,,sin_mora,True,False,False,False,False,False,False,1
PAS,504767616,2465604439,Cliente922 Ramírez,Compra,1151748,Cuenta corriente,Cali,2024-02-28 00:07:42,1800-01-01,Avenida 43 #46-49,3818840598,cliente922.552@gmail.com,No,,sin_mora,True,False,False,False,False,False,False,1
CE,313661682,6177747378,Cliente931 Pérez,Compra,1237875,Cuenta de ahorros,Cartagena,2024-02-28 16:46:01,1800-01-01,Avenida 83 #62-36,3959428144,cliente931.341@mail.com,No,,sin_mora,True,False,False,False,False,False,False,1
PAS,696873180,8035985345,Cliente945 Méndez,Transferencia,953396,Préstamo personal,Barranquilla,2024-02-28 12:39:58,1800-01-01,Avenida 17 #91-1,3808695062,cliente945.250@mail.com,No,,sin_mora,True,False,False,False,False,False,False,1
CC,545424113,6586351860,Cliente953 Ramírez,Transferencia,1907177,Cuenta de ahorros,Medellín,2024-02-28 15:11:53,1800-01-01,Carrera 132 #25-45,3115043257,,Sí,504602.0,120 días,True,False,False,False,False,False,False,1
TI,129798308,9799418799,Cliente969 Torres,Pago,3909034,Inversión,Cartagena,2024-02-28 17:16:02,1800-01-01,Calle 141 #5-16,3176718402,,Sí,619267.0,30 días,True,False,False,False,False,False,False,1
CE,402839026,3433952480,Cliente989 Torres,Transferencia,4969307,Inversión,Pereira,2024-02-28 09:33:14,1800-01-01,Diagonal 19 #88-33,3813785393,cliente989.625@gmail.com,Sí,84597.0,90 días,True,False,False,False,False,False,False,1
PAS,321092721,3316430643,Cliente991 Torres,Retiro,1870979,Cuenta corriente,Medellín,2024-02-28 00:40:36,1800-01-01,Diagonal 18 #77-40,3540688672,,Sí,288000.0,120 días,True,False,False,False,False,False,False,1
PAS,439148481,9315199398,Cliente998 Gómez,Retiro,2404288,Inversión,Bogotá,2024-02-28 23:20:10,1800-01-01,Calle 93 #33-22,3810716935,cliente998.670@yahoo.com,No,,sin_mora,True,False,False,False,False,False,False,1
PAS,433991426,4073234494,Cliente999 Méndez,Compra,2863999,Cuenta corriente,Pereira,2024-02-28 12:43:41,1800-01-01,Avenida 71 #64-39,3770518067,cliente999.56@yahoo.com,No,,sin_mora,True,False,False,False,False,False,False,1
