tipo de identificación,número de identificación,número de cuenta,nombres,tipo transacción,monto transacción,tipo de producto,ciudad,fecha-hora,fecha de nacimiento,dirección del cliente,teléfono del cliente,correo del cliente,reporte centrales de riesgo,monto reporte de central de riesgo,tiempo en mora del reporte de riesgo
TI,595249826,9208601404,Cliente19 Ramírez,Transferencia,759867,Cuenta de ahorros,Pereira,1709141952,2001-03-26,Avenida 8 #13-35,3117954130,@dominio.com,No,,
CE,168009340,3042242759,Cliente20 Gómez,Retiro,1988875,Tarjeta de crédito,Bucaramanga,1709163828,1952-09-08,Carrera 99 #72-32,3184175212,usuario@dominio,No,,
CC,945639708,8021027951,Cliente21 Pérez,Compra,2436025,Préstamo personal,Cartagena,2024-02-28 13:47:39,1986-08-25,Diagonal 110 #65-46,3701012453,cliente21.172@mail.com,Sí,227424,120 días
TI,313429311,4626314365,Cliente22 Pérez,Compra,1930869,Tarjeta de crédito,Barranquilla,2024-02-28 06:34:57,1978-01-15,Diagonal 57 #94-11,3911565011,sincorreo,No,,
CC,299952016,3304358518,Cliente23 Gómez,Retiro,1947396,Tarjeta de crédito,Cali,1709161182,1980-10-15,Carrera 71 #29-21,3682350560,sincorreo,Sí,333319,60 días
PAS,238439933,4391389688,Cliente24 Torres,Pago,1239242,Tarjeta de crédito,Medellín,1709149469,1991-04-22,Carrera 102 #3-19,3397828202,cliente24.703@mail.com,Sí,749969,120 días
CC,996312048,5585072061,Cliente25 Gómez,Transferencia,1422996,Cuenta de ahorros,Cali,2024-02-28 00:19:05,1955-07-02,Carrera 16 #62-20,3956944343,cliente25.964@outlook.com,No,,
TI,351895568,6149936886,Cliente26 Torres,Compra,2993312,Tarjeta de crédito,Medellín,2024-02-28 12:30:06,1968-11-24,Diagonal 82 #15-30,3870300865,correo@.,Sí,830945,30 días
CC,556330548,5511769143,Cliente27 Ramírez,Retiro,2812092,Tarjeta de crédito,Bogotá,1709124431,2001-08-17,Avenida 55 #92-45,3151924581,correo@,No,,
CC,391882859,5417646161,Cliente28 Pérez,Retiro,4990456,Cuenta corriente,Medellín,1709109739,1972-06-10,Calle 70 #3-5,3448825518,sincorreo,Sí,33868,90 días
CC,982089349,7832496091,Cliente29 Ramírez,Pago,3680469,Cuenta de ahorros,Medellín,2024-02-28 18:09:40,1956-09-21,Calle 129 #36-43,3928784024,usuario@dominio,Sí,265484,60 días
TI,282791617,8416121426,Cliente30 Pérez,Compra,2017884,Tarjeta de crédito,Cartagena,2024-02-28 07:01:08,1966-07-05,Carrera 146 #9-46,3530729935,cliente30.83@mail.com,Sí,755593,90 días
PAS,729971146,5810192300,Cliente31 Méndez,Transferencia,1044518,Inversión,Pereira,2024-02-28 04:19:52,1982-04-25,Calle 44 #49-49,3138955247,cliente31.315@outlook.com,Sí,512545,90 días
PAS,285699477,4870493927,Cliente32 Méndez,Retiro,4118252,Cuenta corriente,Medellín,1709104062,1991-03-26,Avenida 30 #3-1,3146094728,@dominio.com,Sí,700556,90 días
PAS,811137216,6910081399,Cliente33 Pérez,Retiro,4661051,Cuenta corriente,Pereira,1709098360,1953-01-14,Diagonal 88 #11-33,3529424939,correo@.,Sí,743862,120 días
TI,470262238,7981868813,Cliente34 Pérez,Depósito,4207961,Préstamo personal,Medellín,1709158313,1988-02-12,Carrera 115 #78-18,3933015855,@dominio.com,No,,
TI,357312372,5741322105,Cliente35 Ramírez,Transferencia,4093704,Préstamo personal,Medellín,2024-02-28 04:28:07,1981-03-13,Diagonal 111 #3-13,3575145146,usuario@dominio,No,,
CE,596965335,6832328690,Cliente36 Pérez,Depósito,930476,Préstamo personal,Medellín,1709079502,1983-03-25,Diagonal 133 #48-14,3454097721,cliente36.574@gmail.com,Sí,665630,30 días
CC,866675885,5451662018,Cliente37 Torres,Compra,311356,Cuenta de ahorros,Barranquilla,1709131727,1955-10-02,Diagonal 42 #32-39,3938345005,cliente37.986@mail.com,No,,
PAS,890547802,8198497775,Cliente38 Méndez,Depósito,4117851,Inversión,Bucaramanga,2024-02-28 04:15:07,1800-01-01,Carrera 108 #73-3,3393099790,cliente38.432@mail.com,No,,
CC,568384585,7724194242,Cliente39 Méndez,Retiro,2970031,Cuenta corriente,Medellín,1709156805,1969-05-04,Avenida 2 #82-4,3606241866,sincorreo,No,,
CE,515951024,6518950757,Cliente40 Torres,Retiro,3157682,Inversión,Cali,2024-02-28 02:33:03,1966-04-17,Calle 118 #71-47,3829837079,cliente40.488@outlook.com,No,,
CC,692202275,2923152868,Cliente41 Pérez,Transferencia,3564581,Cuenta corriente,Bogotá,2024-02-28 18:51:40,1993-12-19,Diagonal 81 #15-11,3127425345,cliente41.521@gmail.com,Sí,585742,120 días
TI,466701153,5426864867,Cliente42 Ramírez,Depósito,3449492,Tarjeta de crédito,Cali,2024-02-28 09:16:48,1962-01-20,Avenida 97 #9-7,3759358692,correo@.,No,,
PAS,113776309,4689583733,Cliente43 Méndez,Pago,282546,Inversión,Cartagena,1709106856,1800-01-01,Avenida 126 #23-23,3181066578,sincorreo,No,,
CC,274590813,2709381340,Cliente44 Gómez,Retiro,3046411,Cuenta de ahorros,Barranquilla,2024-02-28 10:14:05,1963-01-05,Calle 87 #23-1,3693471658,usuario@dominio,Sí,113259,30 días
CC,609761835,9118387979,Cliente45 Ramírez,Compra,3897493,Cuenta corriente,Pereira,2024-02-28 11:07:41,1967-09-08,Diagonal 136 #75-27,3198303977,usuario@dominio,Sí,227789,90 días
PAS,764134575,3325449926,Cliente46 Torres,Depósito,4255372,Inversión,Pereira,2024-02-28 06:31:40,2001-09-07,Avenida 64 #35-9,3466502664,usuario@dominio,No,,
CC,795829536,3321800024,Cliente47 Méndez,Compra,1635610,Tarjeta de crédito,Bogotá,2024-02-28 13:18:06,2005-11-23,Avenida 56 #66-6,3422379983,cliente47.486@yahoo.com,Sí,739079,90 días
CE,882777404,4006697743,Cliente48 Gómez,Retiro,3459780,Préstamo personal,Pereira,2024-02-28 06:06:27,2002-09-25,Calle 21 #54-30,3105832406,usuario@dominio,Sí,93961,120 días
CE,157611706,1798785477,Cliente49 Méndez,Pago,1379679,Cuenta corriente,Cali,1709158427,1976-02-20,Diagonal 121 #80-15,3530534789,correo@.,No,,
CC,847555768,6149041973,Cliente50 Ramírez,Pago,1196247,Cuenta de ahorros,Barranquilla,2024-02-28 10:28:31,1988-12-10,Calle 80 #83-5,3257427923,usuario@dominio,No,,
CC,709471589,8229025018,Cliente51 Méndez,Compra,518030,Inversión,Barranquilla,1709090548,1970-02-10,Carrera 27 #51-36,3270864832,cliente51.393@yahoo.com,Sí,116653,120 días
PAS,138520177,5463599319,Cliente52 Ramírez,Transferencia,4495530,Tarjeta de crédito,Cali,2024-02-28 10:26:21,1979-06-05,Diagonal 29 #7-50,3757907470,cliente52.719@mail.com,No,,
TI,489462846,5702265472,Cliente53 Méndez,Pago,4273153,Cuenta corriente,Cartagena,2024-02-28 12:53:56,1800-01-01,Carrera 119 #30-6,3543696742,sincorreo,Sí,561379,30 días
PAS,819911116,4433463193,Cliente54 Torres,Retiro,3876772,Préstamo personal,Bucaramanga,1709158873,1971-08-27,Diagonal 123 #95-34,3326472173,cliente54.845@outlook.com,Sí,231765,120 días
CC,310505616,7926354800,Cliente55 Pérez,Transferencia,4262071,Cuenta corriente,Cartagena,1709094788,1997-06-04,Calle 14 #51-28,3927280377,cliente55.171@mail.com,No,,
CE,997992090,1660447263,Cliente56 Ramírez,Pago,3948121,Tarjeta de crédito,Bucaramanga,2024-02-28 16:44:16,1800-01-01,Diagonal 49 #81-49,3319876511,sincorreo,Sí,638351,120 días
CE,243832432,8012955550,Cliente57 Pérez,Pago,1474946,Tarjeta de crédito,Barranquilla,1709100316,1988-08-01,Calle 5 #41-39,3705171145,cliente57.906@gmail.com,No,,
CE,290085534,7838087395,Cliente58 Torres,Transferencia,252789,Tarjeta de crédito,Cartagena,2024-02-28 07:17:29,1985-11-20,Avenida 23 #27-37,3566322061,correo@.,No,,
TI,232548369,2768930428,Cliente59 Torres,Retiro,2433161,Tarjeta de crédito,Cali,1709085936,1800-01-01,Calle 91 #77-20,3472189949,cliente59.433@yahoo.com,No,,
TI,914549029,9128923545,Cliente60 Gómez,Transferencia,3834774,Cuenta de ahorros,Cartagena,1709119203,1993-10-21,Avenida 92 #10-48,3132944100,cliente60.405@gmail.com,No,,
CE,571439226,2145283123,Cliente61 Méndez,Pago,1561516,Cuenta de ahorros,Cali,1709095438,1958-02-27,Avenida 29 #94-20,3161900609,correo@,No,,
PAS,354451342,1180893086,Cliente62 Ramírez,Retiro,1582178,Cuenta corriente,Bucaramanga,1709103205,1965-01-12,Avenida 105 #82-25,3436938825,cliente62.257@mail.com,Sí,295407,90 días
CE,500883545,3134720414,Cliente63 Gómez,Pago,600431,Tarjeta de crédito,Bucaramanga,1709108565,1973-10-25,Calle 11 #30-11,3868661158,cliente63.105@outlook.com,No,,
CE,742894119,1800706136,Cliente64 Torres,Retiro,2757648,Préstamo personal,Cartagena,1709088704,1970-11-16,Diagonal 78 #47-42,3343823028,usuario@dominio,No,,
PAS,705628094,2515005948,Cliente65 Gómez,Retiro,4795057,Cuenta de ahorros,Bogotá,1709157559,1981-05-25,Carrera 56 #32-48,3289573132,cliente65.875@outlook.com,No,,
CC,512430892,5136240659,Cliente66 Torres,Depósito,3076506,Cuenta de ahorros,Medellín,1709085898,1800-01-01,Avenida 24 #1-43,3458513580,cliente66.187@outlook.com,Sí,886760,90 días
PAS,953672991,9361742281,Cliente67 Ramírez,Depósito,3753944,Tarjeta de crédito,Cali,1709088573,1800-01-01,Carrera 11 #11-27,3105472108,cliente67.913@mail.com,No,,
CC,422114114,6874362462,Cliente68 Torres,Transferencia,1187641,Préstamo personal,Bucaramanga,1709162792,1982-08-03,Avenida 100 #100-31,3952238662,cliente68.881@outlook.com,No,,
TI,645903391,8989107993,Cliente69 Gómez,Depósito,4815052,Cuenta corriente,Medellín,2024-02-28 21:58:40,1991-01-01,Diagonal 73 #79-32,3644192889,usuario@dominio,No,,
PAS,139336707,9554307678,Cliente70 Gómez,Pago,4955275,Cuenta corriente,Cartagena,1709141102,1990-07-24,Diagonal 72 #81-5,3133332431,correo@.,Sí,188237,90 días
CC,208290348,9031425132,Cliente71 Pérez,Pago,444200,Cuenta corriente,Cali,1709133149,1980-07-23,Avenida 48 #75-14,3614899585,@dominio.com,Sí,566792,60 días
CE,702206107,9822336021,Cliente72 Ramírez,Depósito,4346929,Cuenta corriente,Medellín,2024-02-28 00:44:16,2004-10-22,Avenida 28 #2-48,3498750577,@dominio.com,Sí,661747,60 días
CC,112368306,5040368364,Cliente73 Pérez,Transferencia,1357034,Tarjeta de crédito,Medellín,1709126533,1962-07-21,Carrera 113 #4-35,3227001278,correo@.,No,,
PAS,121605551,4907558081,Cliente74 Ramírez,Pago,1917662,Cuenta de ahorros,Bucaramanga,2024-02-28 15:08:35,1986-12-04,Calle 89 #66-35,3872451783,correo@,No,,
CC,921703878,3855314689,Cliente75 Ramírez,Depósito,4021680,Inversión,Bogotá,1709121077,1990-01-01,Calle 142 #22-27,3669315414,cliente75.677@gmail.com,Sí,710739,30 días
TI,580881161,1817565168,Cliente76 Méndez,Pago,4321032,Inversión,Pereira,2024-02-28 17:49:26,2002-07-14,Calle 81 #85-6,3937086120,cliente76.354@yahoo.com,No,,
CC,289071670,8547248698,Cliente77 Gómez,Compra,2974902,Tarjeta de crédito,Pereira,1709121196,1971-08-20,Avenida 93 #93-27,3768510244,cliente77.647@outlook.com,Sí,988520,90 días
PAS,526579287,3604263585,Cliente78 Méndez,Transferencia,2988688,Tarjeta de crédito,Barranquilla,1709087312,1800-01-01,Calle 41 #42-16,3981902295,cliente78.108@mail.com,Sí,190706,90 días
PAS,853643187,1871142849,Cliente79 Gómez,Compra,4926210,Cuenta corriente,Cali,1709119791,1950-09-14,Avenida 72 #7-36,3417486158,cliente79.889@gmail.com,No,,
CE,375390499,8306484799,Cliente80 Méndez,Retiro,498948,Préstamo personal,Cali,1709132292,1991-01-22,Carrera 37 #11-24,3284532438,cliente80.710@mail.com,No,,
CE,382136654,2531154211,Cliente81 Méndez,Retiro,2465078,Inversión,Cali,1709106926,1987-11-26,Calle 146 #56-23,3381694351,cliente81.312@outlook.com,No,,
TI,242335706,9612920738,Cliente82 Ramírez,Compra,1775571,Préstamo personal,Cali,1709078610,1800-01-01,Calle 136 #41-32,3645609749,cliente82.500@outlook.com,No,,
PAS,282451915,2039085284,Cliente83 Gómez,Pago,2672303,Inversión,Cali,1709105500,1958-11-22,Diagonal 139 #15-11,3770610767,correo@,No,,
CE,517579590,5227174813,Cliente84 Torres,Compra,4965186,Cuenta corriente,Barranquilla,1709150247,1957-09-26,Avenida 139 #100-48,3291760650,cliente84.4@gmail.com,Sí,270268,60 días
CE,748165679,3343862802,Cliente85 Torres,Retiro,2467342,Cuenta de ahorros,Cali,1709114988,1955-07-06,Avenida 24 #10-49,3277781412,@dominio.com,Sí,903862,60 días
CC,448186101,3357984102,Cliente86 Méndez,Retiro,3546855,Préstamo personal,Medellín,2024-02-28 05:02:20,1980-01-02,Carrera 137 #18-14,3564425333,correo@,Sí,540266,120 días
PAS,433448646,5963128552,Cliente87 Méndez,Depósito,91904,Préstamo personal,Pereira,2024-02-28 20:43:55,1968-05-18,Calle 93 #99-49,3816027738,cliente87.444@outlook.com,Sí,282763,60 días
CE,646804432,2474913593,Cliente88 Gómez,Depósito,632851,Cuenta de ahorros,Barranquilla,2024-02-28 19:24:41,1994-02-04,Avenida 133 #89-7,3689375656,cliente88.850@gmail.com,Sí,546643,30 días
CE,624665065,4023030613,Cliente89 Gómez,Pago,2108405,Cuenta corriente,Pereira,1709133197,1989-11-09,Carrera 141 #51-26,3809918687,sincorreo,Sí,406309,60 días
TI,191588325,1301865097,Cliente90 Pérez,Compra,2220870,Préstamo personal,Pereira,1709089509,1981-10-20,Carrera 66 #93-17,3569638434,cliente90.902@mail.com,No,,
CC,457163546,2287456113,Cliente91 Gómez,Retiro,418949,Inversión,Bucaramanga,1709080921,1956-03-16,Calle 18 #77-38,3157574836,cliente91.103@mail.com,No,,
CE,487453151,5054190490,Cliente92 Méndez,Retiro,1761856,Cuenta de ahorros,Medellín,1709095584,1988-10-28,Diagonal 132 #35-33,3429088483,cliente92.154@outlook.com,No,,
CE,908525742,6881552364,Cliente93 Méndez,Depósito,1705224,Cuenta de ahorros,Barranquilla,2024-02-28 00:34:38,1951-12-18,Diagonal 106 #42-9,3899211247,cliente93.152@yahoo.com,No,,
TI,465495019,8546986064,Cliente94 Pérez,Pago,1344264,Inversión,Cartagena,2024-02-28 15:39:41,1959-12-01,Carrera 44 #34-33,3923280976,correo@.,No,,
CE,994349084,1334174274,Cliente95 Méndez,Compra,1182871,Cuenta corriente,Cali,1709103650,1968-06-08,Carrera 122 #53-16,3176123275,usuario@dominio,Sí,966961,60 días
PAS,955233035,3712819235,Cliente96 Pérez,Pago,1354289,Inversión,Cali,1709164674,1950-12-03,Avenida 26 #99-43,3863585519,sincorreo,Sí,663503,60 días
CE,453924998,2827054655,Cliente97 Torres,Compra,1905927,Cuenta de ahorros,Medellín,1709153308,1952-07-17,Calle 74 #74-1,3445320784,@dominio.com,Sí,899798,90 días
PAS,111824109,5065956534,Cliente98 Méndez,Compra,722650,Cuenta corriente,Pereira,1709097536,1800-01-01,Diagonal 87 #93-15,3192013996,correo@.,Sí,955357,120 días
CE,629096011,7129142955,Cliente99 Gómez,Depósito,1840532,Cuenta corriente,Pereira,1709155643,1965-10-28,Carrera 99 #4-34,3309841423,cliente99.157@outlook.com,Sí,35626,60 días
CE,421105770,6995826459,Cliente100 Pérez,Retiro,3261696,Tarjeta de crédito,Pereira,2024-02-28 22:55:05,1978-12-16,Diagonal 10 #89-21,3540730084,cliente100.86@gmail.com,Sí,181272,30 días
PAS,317319961,4127931253,Cliente101 Ramírez,Retiro,2115664,Inversión,Medellín,1709146369,1954-05-19,Calle 105 #62-39,3542661940,usuario@dominio,No,,
CE,190548094,6097728141,Cliente102 Ramírez,Transferencia,178851,Tarjeta de crédito,Bucaramanga,2024-02-28 14:59:26,1979-08-17,Calle 44 #52-40,3817348461,cliente102.534@gmail.com,Sí,91870,90 días
TI,912665213,7615830740,Cliente103 Méndez,Pago,4137827,Cuenta corriente,Pereira,1709132469,1992-07-20,Diagonal 74 #31-22,3829953430,cliente103.265@gmail.com,Sí,323500,30 días
CE,779465850,7439401269,Cliente104 Pérez,Pago,4484846,Inversión,Bucaramanga,2024-02-28 07:15:37,1951-05-18,Avenida 57 #77-40,3624796940,correo@.,No,,
CE,996739170,4659940894,Cliente105 Gómez,Retiro,2515556,Tarjeta de crédito,Barranquilla,1709148491,2004-05-07,Calle 4 #27-48,3930809863,correo@,Sí,860255,60 días
CE,710396518,5685976082,Cliente106 Pérez,Retiro,509639,Cuenta de ahorros,Cali,1709096624,1995-11-02,Carrera 43 #88-43,3910106075,cliente106.659@mail.com,No,,
PAS,101442177,9357005869,Cliente107 Torres,Transferencia,639196,Cuenta de ahorros,Medellín,1709079070,1978-12-06,Diagonal 26 #89-31,3910382125,cliente107.964@yahoo.com,No,,
PAS,586153711,5097124330,Cliente108 Torres,Compra,4125771,Préstamo personal,Bucaramanga,2024-02-28 03:13:37,1991-01-26,Carrera 83 #87-32,3176776776,correo@,Sí,277728,30 días
CC,905925745,5464388479,Cliente109 Torres,Pago,3733885,Inversión,Cartagena,2024-02-28 04:36:55,1971-12-10,Calle 25 #24-3,3445051139,cliente109.420@mail.com,No,,
PAS,820347917,6704252541,Cliente110 Ramírez,Depósito,461068,Tarjeta de crédito,Cali,1709087939,2001-05-11,Calle 7 #40-12,3724680766,cliente110.48@outlook.com,Sí,236388,120 días
TI,273233252,1527029669,Cliente111 Ramírez,Retiro,2364125,Cuenta corriente,Cali,1709154852,1955-02-16,Carrera 69 #26-6,3208591958,sincorreo,No,,
CC,924349195,4870106193,Cliente112 Pérez,Depósito,2434892,Cuenta corriente,Cartagena,2024-02-28 08:17:01,1968-05-20,Avenida 52 #4-7,3715302141,sincorreo,Sí,399363,120 días
CE,718313299,3919457131,Cliente113 Gómez,Pago,3468043,Inversión,Pereira,1709111395,1992-05-12,Carrera 24 #47-37,3270964441,cliente113.877@yahoo.com,Sí,38936,120 días
PAS,553937499,4940072248,Cliente114 Gómez,Transferencia,1044519,Cuenta de ahorros,Bogotá,1709102087,1958-04-13,Calle 8 #56-17,3614459068,cliente114.966@yahoo.com,No,,
CC,180877756,2091827429,Cliente115 Gómez,Compra,3896442,Préstamo personal,Cartagena,2024-02-28 02:52:06,1980-01-19,Carrera 102 #25-17,3611829566,cliente115.661@outlook.com,Sí,508170,90 días
CC,219863053,1721566408,Cliente116 Ramírez,Depósito,1600521,Cuenta de ahorros,Bogotá,2024-02-28 09:28:43,1984-08-17,Avenida 41 #15-43,3413622253,cliente116.828@yahoo.com,Sí,213389,120 días
PAS,907759822,3192291849,Cliente117 Gómez,Compra,1852086,Tarjeta de crédito,Cali,1709085136,1952-11-08,Avenida 125 #82-34,3831970004,cliente117.740@gmail.com,No,,
PAS,244581098,2073317452,Cliente118 Pérez,Retiro,64906,Cuenta corriente,Cartagena,1709078512,1982-11-17,Avenida 130 #52-15,3241008080,correo@,Sí,519520,30 días
TI,239948255,4534976388,Cliente119 Méndez,Pago,3198340,Tarjeta de crédito,Bucaramanga,2024-02-28 17:38:02,1984-03-19,Carrera 120 #33-27,3956195462,cliente119.767@yahoo.com,No,,
CC,313968542,8328343961,Cliente120 Méndez,Retiro,2576268,Tarjeta de crédito,Pereira,2024-02-28 12:44:45,1982-12-11,Avenida 36 #61-40,3551865798,cliente120.364@yahoo.com,Sí,433789,120 días
TI,206393009,7063113251,Cliente121 Torres,Depósito,302384,Tarjeta de crédito,Barranquilla,1709083848,1994-03-26,Calle 95 #57-43,3877480228,cliente121.263@gmail.com,Sí,430056,90 días
PAS,886785505,1065633592,Cliente122 Ramírez,Transferencia,2967004,Préstamo personal,Barranquilla,1709124751,1955-02-04,Carrera 20 #64-32,3743459104,cliente122.724@mail.com,Sí,215756,120 días
CE,515194969,7974507521,Cliente123 Pérez,Transferencia,2360096,Préstamo personal,Cartagena,1709128079,1992-09-27,Carrera 102 #54-23,3652596048,correo@.,No,,
PAS,680818105,7497228613,Cliente124 Ramírez,Compra,885035,Préstamo personal,Barranquilla,2024-02-28 15:17:37,1956-06-27,Diagonal 149 #25-31,3898584056,cliente124.410@yahoo.com,No,,
PAS,175356461,6624956970,Cliente125 Torres,Compra,2302679,Cuenta corriente,Bucaramanga,2024-02-28 21:21:36,1964-11-21,Calle 110 #48-12,3406213311,@dominio.com,No,,
PAS,639697075,7497459736,Cliente126 Gómez,Compra,400856,Cuenta de ahorros,Pereira,1709093906,1989-05-08,Carrera 73 #53-19,3720183727,cliente126.854@outlook.com,Sí,520059,60 días
PAS,611802125,7327616697,Cliente127 Ramírez,Pago,1166403,Cuenta corriente,Bogotá,2024-02-28 01:52:51,1973-06-07,Calle 102 #76-47,3715740550,cliente127.323@mail.com,No,,
TI,309650527,8097493689,Cliente128 Pérez,Transferencia,422562,Cuenta corriente,Bucaramanga,2024-02-28 04:45:50,1971-11-10,Calle 54 #5-10,3934218338,usuario@dominio,No,,
PAS,373444076,3361197176,Cliente129 Torres,Compra,4745696,Cuenta corriente,Pereira,2024-02-28 20:03:48,1965-10-18,Diagonal 64 #38-36,3541284679,cliente129.406@outlook.com,Sí,46071,90 días
PAS,918126795,7332824188,Cliente130 Ramírez,Pago,2036003,Cuenta corriente,Pereira,2024-02-28 02:47:16,1999-02-20,Diagonal 97 #74-35,3252111466,cliente130.649@yahoo.com,No,,
PAS,776218061,6970282343,Cliente131 Gómez,Retiro,1225668,Cuenta de ahorros,Bucaramanga,1709097439,1994-10-04,Avenida 53 #54-37,3561213286,usuario@dominio,No,,
CE,495965768,6057979260,Cliente132 Pérez,Pago,462001,Cuenta de ahorros,Medellín,2024-02-28 15:53:42,1951-10-03,Avenida 119 #33-37,3334703547,cliente132.258@outlook.com,No,,
CC,584550484,7504021133,Cliente133 Pérez,Transferencia,4261925,Cuenta corriente,Barranquilla,2024-02-28 11:35:58,1979-11-15,Avenida 113 #32-40,3225568828,@dominio.com,Sí,456271,120 días
PAS,741390339,2556477241,Cliente134 Torres,Pago,4165431,Cuenta corriente,Cali,2024-02-28 09:24:04,1992-12-20,Calle 4 #86-17,3343107855,cliente134.945@gmail.com,No,,
PAS,220056527,6043769422,Cliente135 Torres,Pago,3616189,Préstamo personal,Cartagena,1709113912,2000-12-01,Carrera 74 #39-48,3668022484,cliente135.95@mail.com,No,,
CC,264549159,7900831255,Cliente136 Ramírez,Compra,68735,Tarjeta de crédito,Medellín,1709109759,1965-08-24,Diagonal 10 #61-10,3344064702,correo@.,No,,
TI,749748808,9715423307,Cliente137 Pérez,Compra,2833980,Cuenta corriente,Bucaramanga,1709092054,1984-08-25,Calle 139 #95-11,3986973855,usuario@dominio,Sí,398974,60 días
CC,467153439,2503743135,Cliente138 Ramírez,Pago,3556365,Tarjeta de crédito,Bogotá,1709137331,2003-08-12,Calle 128 #82-38,3742132834,cliente138.315@mail.com,No,,
CE,973584600,5532321144,Cliente139 Ramírez,Retiro,4180037,Inversión,Bogotá,1709112839,2002-04-12,Avenida 132 #86-30,3796955491,correo@.,Sí,336514,60 días
CE,734845057,9619216030,Cliente140 Pérez,Depósito,4811230,Cuenta de ahorros,Cartagena,2024-02-28 10:44:29,1996-04-04,Diagonal 144 #31-4,3196967456,usuario@dominio,No,,
TI,977111873,2454257160,Cliente141 Pérez,Depósito,4084169,Tarjeta de crédito,Bogotá,2024-02-28 10:09:48,1990-12-17,Avenida 118 #43-29,3137240068,correo@,Sí,630173,120 días
