id_transaccion,fecha_hora,monto_transaccion,tipo_transaccion,numero_cuenta,id_cliente,id_producto,id_riesgo,id_fecha,alerta_fecha_futura,alerta_monto_negativo,alerta_tipo_desconocido
92,2024-02-28 00:42:01,418949,Retiro,2287456113,92,1,4,92,false,false,true
93,2024-02-28 04:46:24,1761856,Retiro,5054190490,93,2,4,93,false,false,true
94,2024-02-28 00:34:38,1705224,Depósito,6881552364,94,2,4,94,false,false,true
95,2024-02-28 15:39:41,1344264,Pago,8546986064,95,1,4,95,false,false,true
96,2024-02-28 07:00:50,1182871,Compra,1334174274,96,3,45,96,false,false,true
97,2024-02-28 23:57:54,1354289,Pago,3712819235,97,1,46,97,false,false,true
98,2024-02-28 20:48:28,1905927,Compra,2827054655,98,2,47,98,false,false,true
99,2024-02-28 05:18:56,722650,Compra,5065956534,99,3,48,99,false,false,true
100,2024-02-28 21:27:23,1840532,Depósito,7129142955,100,3,49,100,false,false,true
101,2024-02-28 22:55:05,3261696,Retiro,6995826459,101,4,50,101,false,false,true
102,2024-02-28 18:52:49,2115664,Retiro,4127931253,102,1,4,102,false,false,true
103,2024-02-28 14:59:26,178851,Transferencia,6097728141,103,4,51,103,false,false,true
104,2024-02-28 15:01:09,4137827,Pago,7615830740,104,3,52,104,false,false,true
105,2024-02-28 07:15:37,4484846,Pago,7439401269,105,1,4,105,false,false,true
106,2024-02-28 19:28:11,2515556,Retiro,4659940894,106,4,53,106,false,false,true
107,2024-02-28 05:03:44,509639,Retiro,5685976082,107,2,4,107,false,false,true
108,2024-02-28 00:11:10,639196,Transferencia,9357005869,108,2,4,108,false,false,true
109,2024-02-28 03:13:37,4125771,Compra,5097124330,109,5,54,109,false,false,true
110,2024-02-28 04:36:55,3733885,Pago,5464388479,110,1,4,110,false,false,true
111,2024-02-28 02:38:59,461068,Depósito,6704252541,111,4,55,111,false,false,true
112,2024-02-28 21:14:12,2364125,Retiro,1527029669,112,3,4,112,false,false,true
113,2024-02-28 08:17:01,2434892,Depósito,4870106193,113,3,56,113,false,false,true
114,2024-02-28 09:09:55,3468043,Pago,3919457131,114,1,57,114,false,false,true
115,2024-02-28 06:34:47,1044519,Transferencia,4940072248,115,2,4,115,false,false,true
116,2024-02-28 02:52:06,3896442,Compra,2091827429,116,5,58,116,false,false,true
117,2024-02-28 09:28:43,1600521,Depósito,1721566408,117,2,59,117,false,false,true
118,2024-02-28 01:52:16,1852086,Compra,3192291849,118,4,4,118,false,false,true
119,2024-02-28 00:01:52,64906,Retiro,2073317452,119,3,60,119,false,false,true
120,2024-02-28 17:38:02,3198340,Pago,4534976388,120,4,4,120,false,false,true
121,2024-02-28 12:44:45,2576268,Retiro,8328343961,121,4,61,121,false,false,true
122,2024-02-28 01:30:48,302384,Depósito,7063113251,122,4,62,122,false,false,true
123,2024-02-28 12:52:31,2967004,Transferencia,1065633592,123,5,63,123,false,false,true
124,2024-02-28 13:47:59,2360096,Transferencia,7974507521,124,5,4,124,false,false,true
125,2024-02-28 15:17:37,885035,Compra,7497228613,125,5,4,125,false,false,true
126,2024-02-28 21:21:36,2302679,Compra,6624956970,126,3,4,126,false,false,true
127,2024-02-28 04:18:26,400856,Compra,7497459736,127,2,64,127,false,false,true
128,2024-02-28 01:52:51,1166403,Pago,7327616697,128,3,4,128,false,false,true
129,2024-02-28 04:45:50,422562,Transferencia,8097493689,129,3,4,129,false,false,true
130,2024-02-28 20:03:48,4745696,Compra,3361197176,130,3,65,130,false,false,true
131,2024-02-28 02:47:16,2036003,Pago,7332824188,131,3,4,131,false,false,true
132,2024-02-28 05:17:19,1225668,Retiro,6970282343,132,2,4,132,false,false,true
133,2024-02-28 15:53:42,462001,Pago,6057979260,133,2,4,133,false,false,true
134,2024-02-28 11:35:58,4261925,Transferencia,7504021133,134,3,66,134,false,false,true
135,2024-02-28 09:24:04,4165431,Pago,2556477241,135,3,4,135,false,false,true
136,2024-02-28 09:51:52,3616189,Pago,6043769422,136,5,4,136,false,false,true
137,2024-02-28 08:42:39,68735,Compra,7900831255,137,4,4,137,false,false,true
138,2024-02-28 03:47:34,2833980,Compra,9715423307,138,3,67,138,false,false,true
139,2024-02-28 16:22:11,3556365,Pago,2503743135,139,4,4,139,false,false,true
140,2024-02-28 09:33:59,4180037,Retiro,5532321144,140,1,68,140,false,false,true
141,2024-02-28 10:44:29,4811230,Depósito,9619216030,141,2,4,141,false,false,true
142,2024-02-28 10:09:48,4084169,Depósito,2454257160,142,4,69,86,false,false,true
143,2024-02-28 08:40:21,2491299,Depósito,9800154474,143,4,70,142,false,false,true
144,2024-02-28 21:49:22,323709,Retiro,9015517316,144,4,4,143,false,false,true
145,2024-02-28 22:35:21,4643136,Depósito,3224616019,145,1,4,144,false,false,true
146,2024-02-28 16:46:12,4597942,Depósito,6299698290,146,2,71,145,false,false,true
147,2024-02-28 06:55:33,1111660,Pago,1848045738,147,4,72,146,false,false,true
148,2024-02-28 23:32:39,2283750,Pago,6197950893,148,3,4,147,false,false,true
149,2024-02-28 01:38:24,400243,Pago,2153747848,149,5,4,148,false,false,true
150,2024-02-28 16:04:04,1792233,Transferencia,8486039934,150,5,73,149,false,false,true
151,2024-02-28 04:26:13,4145493,Compra,9128901565,151,2,74,150,false,false,true
152,2024-02-28 15:38:12,2184283,Depósito,5910499967,152,1,75,151,false,false,true
153,2024-02-28 10:46:48,1804697,Retiro,7852889828,153,2,76,152,false,false,true
154,2024-02-28 11:49:38,2739729,Compra,7530128860,154,2,4,153,false,false,true
155,2024-02-28 23:36:12,3919777,Pago,4965977046,155,3,4,154,false,false,true
156,2024-02-28 00:19:18,925256,Transferencia,9613935886,156,1,77,155,false,false,true
157,2024-02-28 06:36:59,4029002,Retiro,5299142614,157,5,78,156,false,false,true
158,2024-02-28 21:43:51,3962227,Retiro,5663933464,158,2,4,157,false,false,true
159,2024-02-28 09:56:37,85020,Retiro,9081886886,159,2,79,158,false,false,true
160,2024-02-28 14:06:25,4061351,Pago,7266040419,160,1,4,159,false,false,true
161,2024-02-28 11:43:56,4488279,Depósito,6774036212,161,4,4,160,false,false,true
162,2024-02-28 09:46:14,4984686,Retiro,6168524934,162,4,80,161,false,false,true
163,2024-02-28 21:16:51,1906036,Retiro,5019674607,163,3,4,162,false,false,true
164,2024-02-28 17:22:55,2194188,Pago,7374609591,164,5,4,163,false,false,true
165,2024-02-28 07:43:18,1260575,Retiro,9551876867,165,1,4,164,false,false,true
166,2024-02-28 02:49:04,3363184,Pago,2931247947,166,2,4,165,false,false,true
167,2024-02-28 00:12:53,1517439,Compra,5855708404,167,4,4,166,false,false,true
168,2024-02-28 18:34:08,3902903,Pago,7570458555,168,2,81,167,false,false,true
169,2024-02-28 07:38:07,1662047,Compra,3693653041,169,1,4,168,false,false,true
170,2024-02-28 03:22:22,1197593,Compra,1529688253,170,3,82,169,false,false,true
171,2024-02-28 15:18:31,3706405,Depósito,3393800510,171,2,83,170,false,false,true
172,2024-02-28 17:21:57,2485118,Retiro,4045220576,172,1,4,171,false,false,true
173,2024-02-28 08:07:34,1599679,Transferencia,9515333122,173,4,4,172,false,false,true
174,2024-02-28 09:52:25,4949597,Transferencia,9684232299,174,2,4,173,false,false,true
175,2024-02-28 10:19:07,1400477,Compra,9332029003,175,5,84,174,false,false,true
176,2024-02-28 17:53:18,2263217,Pago,1938410766,176,2,4,175,false,false,true
177,2024-02-28 20:29:39,2500578,Compra,8599412935,177,4,4,176,false,false,true
178,2024-02-28 08:12:56,752129,Transferencia,3757640854,178,5,4,177,false,false,true
179,2024-02-28 22:33:53,989319,Transferencia,3924757968,179,1,4,178,false,false,true
180,2024-02-28 05:08:37,3668805,Compra,4681947536,180,2,4,179,false,false,true
181,2024-02-28 19:53:30,3962174,Compra,5363314924,181,4,85,180,false,false,true
182,2024-02-28 20:38:05,4879541,Transferencia,2407583287,182,1,86,181,false,false,true
183,2024-02-28 11:29:33,400111,Transferencia,5190163305,183,3,4,182,false,false,true
184,2024-02-28 17:43:48,346511,Retiro,5828976384,184,1,87,183,false,false,true
185,2024-02-28 08:58:46,577840,Pago,5401983850,185,2,88,184,false,false,true
186,2024-02-28 04:19:48,1851985,Compra,9894726523,186,1,4,185,false,false,true
187,2024-02-28 15:02:55,1897504,Transferencia,7624846874,187,2,89,186,false,false,true
188,2024-02-28 06:03:45,1639194,Retiro,9145443423,188,4,90,187,false,false,true
189,2024-02-28 03:26:58,4327179,Compra,3392963340,189,4,91,188,false,false,true
190,2024-02-28 11:44:31,79904,Pago,6021995578,190,5,92,189,false,false,true
191,2024-02-28 04:17:02,4853949,Transferencia,8577056729,191,2,4,190,false,false,true
192,2024-02-28 21:55:57,3446040,Transferencia,9178227284,192,1,93,191,false,false,true
193,2024-02-28 07:20:37,2293154,Compra,7432672654,193,1,4,192,false,false,true
194,2024-02-28 23:43:11,3297967,Depósito,9376104716,194,1,94,193,false,false,true
195,2024-02-28 01:05:00,3798776,Retiro,5872108693,195,5,4,194,false,false,true
196,2024-02-28 11:34:57,2667028,Pago,5233872974,196,2,95,195,false,false,true
197,2024-02-28 09:25:40,2717492,Depósito,5278994732,197,5,96,196,false,false,true
198,2024-02-28 23:44:07,208716,Depósito,1288901803,198,2,4,197,false,false,true
199,2024-02-28 07:21:04,3242415,Depósito,9732423595,199,2,4,198,false,false,true
200,2024-02-28 15:24:35,2599664,Pago,2434071203,200,3,97,199,false,false,true
201,2024-02-28 21:06:28,2920821,Pago,4746930235,201,4,98,200,false,false,true
202,2024-02-28 19:29:16,2941251,Transferencia,1864696728,202,2,99,201,false,false,true
203,2024-02-28 22:51:37,448120,Depósito,6702966836,203,4,4,202,false,false,true
204,2024-02-28 19:40:51,965717,Retiro,2576726556,204,4,4,203,false,false,true
205,2024-02-28 18:15:47,779334,Depósito,3742442842,205,5,4,204,false,false,true
206,2024-02-28 04:20:29,3806959,Compra,1235912732,206,2,100,205,false,false,true
207,2024-02-28 17:24:05,4502672,Transferencia,8911775011,207,1,101,206,false,false,true
208,2024-02-28 09:10:09,1084875,Transferencia,2204523006,208,1,4,207,false,false,true
209,2024-02-28 23:59:38,2383829,Retiro,2789094072,209,5,4,208,false,false,true
210,2024-02-28 03:38:30,3596014,Compra,6066087507,210,4,102,209,false,false,true
211,2024-02-28 04:16:22,1579043,Retiro,1610255371,211,5,103,210,false,false,true
212,2024-02-28 16:40:47,2060999,Compra,2167044000,212,2,104,211,false,false,true
213,2024-02-28 16:33:11,1732827,Depósito,5072261409,213,2,105,212,false,false,true
214,2024-02-28 00:58:47,1761062,Compra,6649525681,214,5,106,213,false,false,true
215,2024-02-28 23:27:43,4071768,Retiro,2686000121,215,4,107,214,false,false,true
216,2024-02-28 16:45:24,2604665,Transferencia,6767013932,216,3,4,215,false,false,true
217,2024-02-28 14:37:01,3605547,Depósito,7197363999,217,5,4,216,false,false,true
218,2024-02-28 05:07:34,3664001,Pago,5663327588,218,2,108,217,false,false,true
219,2024-02-28 09:13:15,2231273,Transferencia,5402632887,219,3,109,218,false,false,true
220,2024-02-28 10:53:04,1438169,Retiro,5098030136,220,2,110,219,false,false,true
221,2024-02-28 17:14:55,4337309,Retiro,8869144271,221,4,4,220,false,false,true
222,2024-02-28 02:06:28,683136,Compra,8267061189,222,5,4,221,false,false,true
223,2024-02-28 01:10:32,3048842,Retiro,9763092960,223,1,4,222,false,false,true
224,2024-02-28 17:29:55,1039222,Transferencia,3963560245,224,5,4,223,false,false,true
225,2024-02-28 18:17:51,4355736,Compra,2906508195,225,3,111,224,false,false,true
226,2024-02-28 11:51:11,4308335,Transferencia,6167824573,226,1,112,225,false,false,true
227,2024-02-28 08:51:32,1950816,Pago,9123619418,227,1,113,226,false,false,true
228,2024-02-28 14:21:20,2553813,Pago,2916015820,228,4,4,227,false,false,true
229,2024-02-28 06:08:43,3403630,Retiro,5338490528,229,2,114,228,false,false,true
230,2024-02-28 21:58:59,3838363,Transferencia,5655891281,230,4,4,229,false,false,true
231,2024-02-28 15:20:06,3802945,Compra,9651520345,231,2,4,230,false,false,true
232,2024-02-28 09:38:17,118417,Depósito,8899809469,232,3,115,231,false,false,true
233,2024-02-28 16:33:12,596863,Depósito,9532332887,233,1,116,232,false,false,true
234,2024-02-28 16:54:47,4612973,Transferencia,8135424139,234,3,4,233,false,false,true
235,2024-02-28 10:08:39,4825852,Retiro,1161441188,235,4,117,234,false,false,true
236,2024-02-28 06:32:32,4111985,Retiro,3546443359,236,1,4,235,false,false,true
237,2024-02-28 18:13:13,1036775,Transferencia,6897242841,237,2,4,236,false,false,true
238,2024-02-28 00:58:24,3555107,Transferencia,2994535997,238,2,4,237,false,false,true
239,2024-02-28 05:29:07,2608758,Transferencia,2435532972,239,1,4,238,false,false,true
240,2024-02-28 10:20:47,1130789,Compra,4011463482,240,3,4,239,false,false,true
241,2024-02-28 08:03:27,4165229,Pago,5942571850,241,4,118,240,false,false,true
242,2024-02-28 19:33:49,1937308,Retiro,1488197757,242,3,119,241,false,false,true
243,2024-02-28 23:22:03,3984618,Pago,9509933181,243,4,4,242,false,false,true
244,2024-02-28 02:12:56,3577185,Retiro,4900263988,244,3,120,243,false,false,true
245,2024-02-28 10:06:38,4917157,Transferencia,8679592605,245,2,121,244,false,false,true
246,2024-02-28 19:21:04,2895231,Transferencia,2723000362,246,2,122,245,false,false,true
247,2024-02-28 07:19:04,1862642,Pago,4354576337,247,5,4,246,false,false,true
248,2024-02-28 09:08:15,1040576,Pago,1290559509,248,3,123,247,false,false,true
249,2024-02-28 20:25:33,257913,Retiro,6057466188,249,2,124,248,false,false,true
250,2024-02-28 19:07:08,3416489,Compra,6301192665,250,4,4,249,false,false,true
251,2024-02-28 05:45:41,3385077,Compra,1025712638,251,2,4,250,false,false,true
252,2024-02-28 09:09:06,787950,Transferencia,9158971054,252,3,125,251,false,false,true
253,2024-02-28 02:27:34,4602151,Transferencia,9377436692,253,2,4,252,false,false,true
254,2024-02-28 17:27:22,1389069,Depósito,1193290059,254,5,126,253,false,false,true
255,2024-02-28 05:48:21,2317359,Compra,6919217080,255,2,127,254,false,false,true
256,2024-02-28 15:29:54,1267033,Pago,3080151431,256,3,4,255,false,false,true
257,2024-02-28 12:42:18,3445779,Depósito,5917972255,257,3,4,256,false,false,true
258,2024-02-28 11:51:20,2613983,Transferencia,5015087995,258,3,128,257,false,false,true
259,2024-02-28 03:33:20,3209308,Pago,2256695703,259,2,4,258,false,false,true
260,2024-02-28 22:45:05,3281550,Compra,1079940407,260,4,4,259,false,false,true
261,2024-02-28 14:51:21,4590172,Transferencia,5710350676,261,4,129,260,false,false,true
262,2024-02-28 14:40:28,3283460,Transferencia,7389140198,262,3,4,261,false,false,true
263,2024-02-28 17:15:50,711860,Compra,5836478079,263,3,4,262,false,false,true
264,2024-02-28 11:13:43,4168995,Transferencia,4632732150,264,2,130,263,false,false,true
265,2024-02-28 10:40:49,1641702,Depósito,4683654883,265,5,131,264,false,false,true
266,2024-02-28 17:35:06,3024204,Depósito,1858716904,266,5,132,265,false,false,true
267,2024-02-28 06:08:12,672771,Pago,6294326317,267,5,4,266,false,false,true
268,2024-02-28 22:59:38,4932390,Depósito,3426750536,268,2,133,267,false,false,true
269,2024-02-28 22:43:00,3489501,Transferencia,4842009099,269,4,134,268,false,false,true
270,2024-02-28 04:05:12,3721861,Compra,7531062737,270,3,4,269,false,false,true
271,2024-02-28 15:14:35,2832210,Transferencia,8256048267,271,4,135,270,false,false,true
272,2024-02-28 21:47:39,4108714,Compra,3947016122,272,3,136,271,false,false,true
273,2024-02-28 06:58:54,595839,Pago,7295461654,273,2,4,272,false,false,true
274,2024-02-28 12:27:06,1210475,Compra,2177388217,274,3,4,273,false,false,true
275,2024-02-28 19:52:44,553603,Compra,1388051686,275,4,4,274,false,false,true
276,2024-02-28 15:27:08,2829078,Retiro,9635307360,276,1,4,275,false,false,true
277,2024-02-28 09:56:05,3872534,Retiro,7764037399,277,5,4,276,false,false,true
278,2024-02-28 11:47:22,994956,Pago,3313192923,278,1,137,277,false,false,true
279,2024-02-28 21:05:41,3893815,Pago,3584353766,279,5,138,278,false,false,true
280,2024-02-28 00:30:32,581832,Depósito,4405883856,280,2,139,279,false,false,true
281,2024-02-28 16:44:37,3695256,Retiro,3696903061,281,5,4,280,false,false,true
282,2024-02-28 10:01:54,4004390,Retiro,3242122133,282,3,140,281,false,false,true
283,2024-02-28 15:28:58,2745460,Retiro,3395105316,283,3,4,282,false,false,true
284,2024-02-28 13:37:25,1433850,Transferencia,2376273060,284,5,141,283,false,false,true
285,2024-02-28 07:51:07,4506805,Depósito,8306641015,285,3,4,284,false,false,true
286,2024-02-28 21:25:27,3477486,Pago,2442610429,286,1,4,285,false,false,true
287,2024-02-28 17:36:57,2453755,Compra,1769200077,287,2,4,286,false,false,true
288,2024-02-28 00:09:15,3108478,Pago,3230746595,288,3,4,287,false,false,true
289,2024-02-28 18:05:05,2725333,Compra,1523792032,289,1,142,288,false,false,true
290,2024-02-28 05:36:36,2044187,Depósito,9987326668,290,1,143,289,false,false,true
291,2024-02-28 16:03:36,4487260,Depósito,9045485751,291,2,144,290,false,false,true
292,2024-02-28 08:00:54,3339199,Retiro,2818768670,292,1,145,291,false,false,true
293,2024-02-28 19:54:01,2229998,Retiro,6472344581,293,5,146,292,false,false,true
294,2024-02-28 12:48:38,1857304,Transferencia,8028163341,294,3,147,293,false,false,true
295,2024-02-28 03:48:48,1123148,Retiro,7081999389,295,2,4,294,false,false,true
296,2024-02-28 09:01:21,4925777,Retiro,9325245666,296,2,148,295,false,false,true
297,2024-02-28 19:39:20,3527181,Depósito,5634300824,297,5,149,296,false,false,true
298,2024-02-28 01:38:19,4273801,Compra,4623655936,298,4,4,297,false,false,true
299,2024-02-28 23:49:28,3305934,Compra,2327982173,299,2,4,298,false,false,true
300,2024-02-28 17:29:48,3825805,Compra,3112802714,300,1,150,299,false,false,true
301,2024-02-28 20:15:06,3439769,Depósito,8520737082,301,2,4,300,false,false,true
302,2024-02-28 01:57:54,59346,Depósito,2929307676,302,1,151,301,false,false,true
303,2024-02-28 17:19:03,4868826,Pago,3301951362,303,2,4,302,false,false,true
304,2024-02-28 22:43:56,186910,Transferencia,6503509890,304,5,4,303,false,false,true
305,2024-02-28 15:31:09,4699778,Pago,2418144576,305,3,152,304,false,false,true
306,2024-02-28 08:09:59,2068814,Transferencia,5731973009,306,1,153,305,false,false,true
307,2024-02-28 08:57:38,2632110,Compra,2990461349,307,5,154,306,false,false,true
308,2024-02-28 23:35:32,721400,Compra,5373262533,308,2,155,307,false,false,true
309,2024-02-28 09:18:06,2250748,Compra,2566313313,309,1,4,308,false,false,true
310,2024-02-28 02:22:47,2757946,Compra,8513632178,310,2,4,309,false,false,true
311,2024-02-28 02:26:30,18594,Retiro,5074029163,311,5,4,310,false,false,true
312,2024-02-28 03:06:24,2288490,Depósito,1181519620,312,1,156,311,false,false,true
313,2024-02-28 11:23:50,4031990,Retiro,9210820004,313,5,4,312,false,false,true
314,2024-02-28 17:38:54,3247305,Depósito,5210524703,314,5,4,313,false,false,true
315,2024-02-28 21:31:08,3356999,Transferencia,1200890455,315,4,157,314,false,false,true
316,2024-02-28 06:31:16,3845973,Depósito,5151368412,316,5,158,315,false,false,true
317,2024-02-28 23:05:57,4435968,Transferencia,9753145809,317,3,4,316,false,false,true
318,2024-02-28 00:41:28,4876578,Compra,8243154397,318,1,159,317,false,false,true
319,2024-02-28 12:56:29,518947,Depósito,3026043883,319,1,160,318,false,false,true
320,2024-02-28 15:00:51,720397,Compra,4548552982,320,4,4,319,false,false,true
321,2024-02-28 09:58:01,1962028,Depósito,7072657422,321,1,161,320,false,false,true
322,2024-02-28 04:32:26,238953,Compra,8556662295,322,4,162,321,false,false,true
323,2024-02-28 20:54:33,439267,Depósito,1454682090,323,3,163,322,false,false,true
324,2024-02-28 23:09:14,2255290,Compra,9838832023,324,5,4,323,false,false,true
