tipo_identificacion,numero_identificacion,nombres,fecha_nacimiento,direccion_cliente,telefono_cliente,correo_cliente,ciudad,id_cliente
CC,847555768,Cliente50 Ramírez,1988-12-10 00:00:00,"Calle 80 #83-5",3257427923,"",Barranquilla,47
CC,709471589,Cliente51 Méndez,1970-02-10 00:00:00,"Carrera 27 #51-36",3270864832,cliente51.393@yahoo.com,Barranquilla,48
PAS,138520177,Cliente52 Ramírez,1979-06-05 00:00:00,"Diagonal 29 #7-50",3757907470,cliente52.719@mail.com,Cali,49
PAS,819911116,Cliente54 Torres,1971-08-27 00:00:00,"Diagonal 123 #95-34",3326472173,cliente54.845@outlook.com,Bucaramanga,50
CC,310505616,Cliente55 Pérez,1997-06-04 00:00:00,"Calle 14 #51-28",3927280377,cliente55.171@mail.com,Cartagena,51
CE,243832432,Cliente57 Pérez,1988-08-01 00:00:00,"Calle 5 #41-39",3705171145,cliente57.906@gmail.com,Barranquilla,52
CE,290085534,Cliente58 Torres,1985-11-20 00:00:00,"Avenida 23 #27-37",3566322061,"",Cartagena,53
TI,914549029,Cliente60 Gómez,1993-10-21 00:00:00,"Avenida 92 #10-48",3132944100,cliente60.405@gmail.com,Cartagena,54
CE,571439226,Cliente61 Méndez,1958-02-27 00:00:00,"Avenida 29 #94-20",3161900609,"",Cali,55
PAS,354451342,Cliente62 Ramírez,1965-01-12 00:00:00,"Avenida 105 #82-25",3436938825,cliente62.257@mail.com,Bucaramanga,56
CE,500883545,Cliente63 Gómez,1973-10-25 00:00:00,"Calle 11 #30-11",3868661158,cliente63.105@outlook.com,Bucaramanga,57
CE,742894119,Cliente64 Torres,1970-11-16 00:00:00,"Diagonal 78 #47-42",3343823028,"",Cartagena,58
PAS,705628094,Cliente65 Gómez,1981-05-25 00:00:00,"Carrera 56 #32-48",3289573132,cliente65.875@outlook.com,Bogotá,59
CC,422114114,Cliente68 Torres,1982-08-03 00:00:00,"Avenida 100 #100-31",3952238662,cliente68.881@outlook.com,Bucaramanga,60
TI,645903391,Cliente69 Gómez,1991-01-01 00:00:00,"Diagonal 73 #79-32",3644192889,"",Medellín,61
PAS,139336707,Cliente70 Gómez,1990-07-24 00:00:00,"Diagonal 72 #81-5",3133332431,"",Cartagena,62
CC,208290348,Cliente71 Pérez,1980-07-23 00:00:00,"Avenida 48 #75-14",3614899585,"",Cali,63
CE,702206107,Cliente72 Ramírez,2004-10-22 00:00:00,"Avenida 28 #2-48",3498750577,"",Medellín,64
CC,112368306,Cliente73 Pérez,1962-07-21 00:00:00,"Carrera 113 #4-35",3227001278,"",Medellín,65
PAS,121605551,Cliente74 Ramírez,1986-12-04 00:00:00,"Calle 89 #66-35",3872451783,"",Bucaramanga,66
CC,921703878,Cliente75 Ramírez,1990-01-01 00:00:00,"Calle 142 #22-27",3669315414,cliente75.677@gmail.com,Bogotá,67
TI,580881161,Cliente76 Méndez,2002-07-14 00:00:00,"Calle 81 #85-6",3937086120,cliente76.354@yahoo.com,Pereira,68
CC,289071670,Cliente77 Gómez,1971-08-20 00:00:00,"Avenida 93 #93-27",3768510244,cliente77.647@outlook.com,Pereira,69
PAS,853643187,Cliente79 Gómez,1950-09-14 00:00:00,"Avenida 72 #7-36",3417486158,cliente79.889@gmail.com,Cali,70
CE,375390499,Cliente80 Méndez,1991-01-22 00:00:00,"Carrera 37 #11-24",3284532438,cliente80.710@mail.com,Cali,71
CE,382136654,Cliente81 Méndez,1987-11-26 00:00:00,"Calle 146 #56-23",3381694351,cliente81.312@outlook.com,Cali,72
PAS,282451915,Cliente83 Gómez,1958-11-22 00:00:00,"Diagonal 139 #15-11",3770610767,"",Cali,73
CE,517579590,Cliente84 Torres,1957-09-26 00:00:00,"Avenida 139 #100-48",3291760650,cliente84.4@gmail.com,Barranquilla,74
CE,748165679,Cliente85 Torres,1955-07-06 00:00:00,"Avenida 24 #10-49",3277781412,"",Cali,75
CC,448186101,Cliente86 Méndez,1980-01-02 00:00:00,"Carrera 137 #18-14",3564425333,"",Medellín,76
PAS,433448646,Cliente87 Méndez,1968-05-18 00:00:00,"Calle 93 #99-49",3816027738,cliente87.444@outlook.com,Pereira,77
CE,646804432,Cliente88 Gómez,1994-02-04 00:00:00,"Avenida 133 #89-7",3689375656,cliente88.850@gmail.com,Barranquilla,78
CE,624665065,Cliente89 Gómez,1989-11-09 00:00:00,"Carrera 141 #51-26",3809918687,"",Pereira,79
TI,191588325,Cliente90 Pérez,1981-10-20 00:00:00,"Carrera 66 #93-17",3569638434,cliente90.902@mail.com,Pereira,80
CC,457163546,Cliente91 Gómez,1956-03-16 00:00:00,"Calle 18 #77-38",3157574836,cliente91.103@mail.com,Bucaramanga,81
CE,487453151,Cliente92 Méndez,1988-10-28 00:00:00,"Diagonal 132 #35-33",3429088483,cliente92.154@outlook.com,Medellín,82
CE,908525742,Cliente93 Méndez,1951-12-18 00:00:00,"Diagonal 106 #42-9",3899211247,cliente93.152@yahoo.com,Barranquilla,83
TI,465495019,Cliente94 Pérez,1959-12-01 00:00:00,"Carrera 44 #34-33",3923280976,"",Cartagena,84
CE,994349084,Cliente95 Méndez,1968-06-08 00:00:00,"Carrera 122 #53-16",3176123275,"",Cali,85
PAS,955233035,Cliente96 Pérez,1950-12-03 00:00:00,"Avenida 26 #99-43",3863585519,"",Cali,86
CE,453924998,Cliente97 Torres,1952-07-17 00:00:00,"Calle 74 #74-1",3445320784,"",Medellín,87
CE,629096011,Cliente99 Gómez,1965-10-28 00:00:00,"Carrera 99 #4-34",3309841423,cliente99.157@outlook.com,Pereira,88
CE,421105770,Cliente100 Pérez,1978-12-16 00:00:00,"Diagonal 10 #89-21",3540730084,cliente100.86@gmail.com,Pereira,89
PAS,317319961,Cliente101 Ramírez,1954-05-19 00:00:00,"Calle 105 #62-39",3542661940,"",Medellín,90
CE,190548094,Cliente102 Ramírez,1979-08-17 00:00:00,"Calle 44 #52-40",3817348461,cliente102.534@gmail.com,Bucaramanga,91
TI,912665213,Cliente103 Méndez,1992-07-20 00:00:00,"Diagonal 74 #31-22",3829953430,cliente103.265@gmail.com,Pereira,92
CE,779465850,Cliente104 Pérez,1951-05-18 00:00:00,"Avenida 57 #77-40",3624796940,"",Bucaramanga,93
CE,996739170,Cliente105 Gómez,2004-05-07 00:00:00,"Calle 4 #27-48",3930809863,"",Barranquilla,94
CE,710396518,Cliente106 Pérez,1995-11-02 00:00:00,"Carrera 43 #88-43",3910106075,cliente106.659@mail.com,Cali,95
PAS,101442177,Cliente107 Torres,1978-12-06 00:00:00,"Diagonal 26 #89-31",3910382125,cliente107.964@yahoo.com,Medellín,96
PAS,586153711,Cliente108 Torres,1991-01-26 00:00:00,"Carrera 83 #87-32",3176776776,"",Bucaramanga,97
CC,905925745,Cliente109 Torres,1971-12-10 00:00:00,"Calle 25 #24-3",3445051139,cliente109.420@mail.com,Cartagena,98
PAS,820347917,Cliente110 Ramírez,2001-05-11 00:00:00,"Calle 7 #40-12",3724680766,cliente110.48@outlook.com,Cali,99
TI,273233252,Cliente111 Ramírez,1955-02-16 00:00:00,"Carrera 69 #26-6",3208591958,"",Cali,100
CC,924349195,Cliente112 Pérez,1968-05-20 00:00:00,"Avenida 52 #4-7",3715302141,"",Cartagena,101
CE,718313299,Cliente113 Gómez,1992-05-12 00:00:00,"Carrera 24 #47-37",3270964441,cliente113.877@yahoo.com,Pereira,102
PAS,553937499,Cliente114 Gómez,1958-04-13 00:00:00,"Calle 8 #56-17",3614459068,cliente114.966@yahoo.com,Bogotá,103
CC,180877756,Cliente115 Gómez,1980-01-19 00:00:00,"Carrera 102 #25-17",3611829566,cliente115.661@outlook.com,Cartagena,104
CC,219863053,Cliente116 Ramírez,1984-08-17 00:00:00,"Avenida 41 #15-43",3413622253,cliente116.828@yahoo.com,Bogotá,105
PAS,907759822,Cliente117 Gómez,1952-11-08 00:00:00,"Avenida 125 #82-34",3831970004,cliente117.740@gmail.com,Cali,106
PAS,244581098,Cliente118 Pérez,1982-11-17 00:00:00,"Avenida 130 #52-15",3241008080,"",Cartagena,107
TI,239948255,Cliente119 Méndez,1984-03-19 00:00:00,"Carrera 120 #33-27",3956195462,cliente119.767@yahoo.com,Bucaramanga,108
CC,313968542,Cliente120 Méndez,1982-12-11 00:00:00,"Avenida 36 #61-40",3551865798,cliente120.364@yahoo.com,Pereira,109
TI,206393009,Cliente121 Torres,1994-03-26 00:00:00,"Calle 95 #57-43",3877480228,cliente121.263@gmail.com,Barranquilla,110
PAS,886785505,Cliente122 Ramírez,1955-02-04 00:00:00,"Carrera 20 #64-32",3743459104,cliente122.724@mail.com,Barranquilla,111
CE,515194969,Cliente123 Pérez,1992-09-27 00:00:00,"Carrera 102 #54-23",3652596048,"",Cartagena,112
PAS,680818105,Cliente124 Ramírez,1956-06-27 00:00:00,"Diagonal 149 #25-31",3898584056,cliente124.410@yahoo.com,Barranquilla,113
PAS,175356461,Cliente125 Torres,1964-11-21 00:00:00,"Calle 110 #48-12",3406213311,"",Bucaramanga,114
PAS,639697075,Cliente126 Gómez,1989-05-08 00:00:00,"Carrera 73 #53-19",3720183727,cliente126.854@outlook.com,Pereira,115
PAS,611802125,Cliente127 Ramírez,1973-06-07 00:00:00,"Calle 102 #76-47",3715740550,cliente127.323@mail.com,Bogotá,116
TI,309650527,Cliente128 Pérez,1971-11-10 00:00:00,"Calle 54 #5-10",3934218338,"",Bucaramanga,117
PAS,373444076,Cliente129 Torres,1965-10-18 00:00:00,"Diagonal 64 #38-36",3541284679,cliente129.406@outlook.com,Pereira,118
PAS,918126795,Cliente130 Ramírez,1999-02-20 00:00:00,"Diagonal 97 #74-35",3252111466,cliente130.649@yahoo.com,Pereira,119
PAS,776218061,Cliente131 Gómez,1994-10-04 00:00:00,"Avenida 53 #54-37",3561213286,"",Bucaramanga,120
CE,495965768,Cliente132 Pérez,1951-10-03 00:00:00,"Avenida 119 #33-37",3334703547,cliente132.258@outlook.com,Medellín,121
CC,584550484,Cliente133 Pérez,1979-11-15 00:00:00,"Avenida 113 #32-40",3225568828,"",Barranquilla,122
PAS,741390339,Cliente134 Torres,1992-12-20 00:00:00,"Calle 4 #86-17",3343107855,cliente134.945@gmail.com,Cali,123
PAS,220056527,Cliente135 Torres,2000-12-01 00:00:00,"Carrera 74 #39-48",3668022484,cliente135.95@mail.com,Cartagena,124
CC,264549159,Cliente136 Ramírez,1965-08-24 00:00:00,"Diagonal 10 #61-10",3344064702,"",Medellín,125
TI,749748808,Cliente137 Pérez,1984-08-25 00:00:00,"Calle 139 #95-11",3986973855,"",Bucaramanga,126
CC,467153439,Cliente138 Ramírez,2003-08-12 00:00:00,"Calle 128 #82-38",3742132834,cliente138.315@mail.com,Bogotá,127
CE,973584600,Cliente139 Ramírez,2002-04-12 00:00:00,"Avenida 132 #86-30",3796955491,"",Bogotá,128
CE,734845057,Cliente140 Pérez,1996-04-04 00:00:00,"Diagonal 144 #31-4",3196967456,"",Cartagena,129
TI,977111873,Cliente141 Pérez,1990-12-17 00:00:00,"Avenida 118 #43-29",3137240068,"",Bogotá,130
PAS,242405305,Cliente142 Torres,1953-05-01 00:00:00,"Avenida 7 #16-42",3729694824,"",Pereira,131
PAS,350141363,Cliente143 Torres,1991-12-24 00:00:00,"Avenida 114 #71-25",3850513156,cliente143.485@yahoo.com,Cali,132
PAS,224172047,Cliente144 Gómez,1983-11-08 00:00:00,"Avenida 66 #64-21",3616203811,"",Medellín,133
PAS,645855960,Cliente145 Ramírez,1953-07-04 00:00:00,"Avenida 103 #45-45",3842607308,"",Pereira,134
TI,429440856,Cliente146 Torres,1988-06-15 00:00:00,"Diagonal 39 #53-4",3983897370,"",Cali,135
PAS,222500075,Cliente147 Pérez,1976-06-21 00:00:00,"Calle 21 #2-35",3789793104,cliente147.850@mail.com,Medellín,136
CC,621216808,Cliente148 Torres,1965-06-03 00:00:00,"Diagonal 53 #31-29",3149870062,cliente148.925@yahoo.com,Pereira,137
CC,186921086,Cliente149 Méndez,1988-03-03 00:00:00,"Calle 85 #33-21",3974489980,"",Bogotá,138
CE,532307639,Cliente150 Pérez,1972-11-22 00:00:00,"Carrera 55 #49-15",3504467219,cliente150.521@outlook.com,Cali,139
CE,282266061,Cliente151 Méndez,1950-06-09 00:00:00,"Carrera 50 #1-32",3369279111,"",Cali,140
CC,733853769,Cliente152 Torres,1969-07-03 00:00:00,"Carrera 9 #46-2",3351637027,"",Pereira,141
CC,834546849,Cliente153 Torres,2003-01-07 00:00:00,"Calle 123 #66-26",3870406156,"",Medellín,142
CC,212041854,Cliente154 Ramírez,2002-05-28 00:00:00,"Calle 107 #75-13",3808306148,"",Bogotá,143
CC,922163060,Cliente155 Pérez,1964-04-02 00:00:00,"Avenida 79 #82-21",3243197665,"",Bucaramanga,144
CE,325956217,Cliente156 Méndez,1950-07-02 00:00:00,"Diagonal 111 #33-6",3744915443,"",Cartagena,145
CE,481756998,Cliente157 Torres,2000-11-19 00:00:00,"Calle 59 #97-31",3249915118,"",Cali,146
TI,140110269,Cliente158 Ramírez,1985-10-13 00:00:00,"Carrera 57 #80-13",3674743789,cliente158.935@outlook.com,Medellín,147
CC,944085228,Cliente159 Gómez,1991-03-12 00:00:00,"Avenida 126 #69-15",3661170794,"",Medellín,148
CC,583008219,Cliente160 Pérez,1962-01-09 00:00:00,"Avenida 111 #36-21",3470753562,"",Barranquilla,149
PAS,401276872,Cliente161 Torres,1990-07-27 00:00:00,"Avenida 122 #11-50",3789361619,cliente161.724@gmail.com,Bogotá,150
PAS,179814061,Cliente162 Pérez,1970-11-07 00:00:00,"Calle 43 #92-10",3439767967,"",Medellín,151
CE,965253592,Cliente163 Gómez,1958-04-05 00:00:00,"Carrera 128 #39-46",3831137309,cliente163.786@gmail.com,Bucaramanga,152
CC,448032547,Cliente164 Pérez,1952-10-01 00:00:00,"Avenida 90 #65-29",3785175895,cliente164.981@mail.com,Medellín,153
CC,924379946,Cliente165 Méndez,2001-05-20 00:00:00,"Avenida 148 #6-8",3425408527,"",Cartagena,154
CE,371900467,Cliente166 Gómez,1994-12-23 00:00:00,"Carrera 99 #64-27",3497728730,"",Cali,155
CC,204326869,Cliente167 Méndez,1955-05-09 00:00:00,"Carrera 114 #51-4",3299877370,cliente167.266@yahoo.com,Medellín,156
CE,957994904,Cliente168 Gómez,1956-08-25 00:00:00,"Carrera 119 #89-29",3596456013,cliente168.195@gmail.com,Cartagena,157
PAS,785371541,Cliente169 Méndez,1955-07-19 00:00:00,"Avenida 129 #65-9",3499575081,cliente169.72@outlook.com,Barranquilla,158
CE,117606686,Cliente170 Torres,1954-10-21 00:00:00,"Calle 13 #76-5",3217575939,cliente170.653@yahoo.com,Cali,159
CE,222383293,Cliente171 Méndez,1986-11-09 00:00:00,"Calle 43 #14-46",3880144238,"",Bogotá,160
PAS,917816724,Cliente172 Méndez,1997-02-28 00:00:00,"Calle 63 #24-27",3447917563,"",Bucaramanga,161
TI,995832207,Cliente173 Gómez,1951-12-19 00:00:00,"Calle 115 #17-15",3620622320,cliente173.157@mail.com,Bucaramanga,162
TI,657461448,Cliente174 Torres,1959-03-21 00:00:00,"Carrera 104 #31-37",3179725888,"",Medellín,163
PAS,361890011,Cliente175 Méndez,1957-09-25 00:00:00,"Avenida 139 #58-2",3308385576,"",Bogotá,164
CE,683622039,Cliente176 Ramírez,1968-06-28 00:00:00,"Carrera 43 #80-19",3506138392,cliente176.242@yahoo.com,Bucaramanga,165
CC,598362223,Cliente177 Méndez,1960-02-06 00:00:00,"Carrera 13 #89-7",3429125954,"",Pereira,166
TI,688958663,Cliente178 Pérez,1996-11-20 00:00:00,"Calle 63 #44-16",3924075753,cliente178.205@mail.com,Barranquilla,167
CC,533209821,Cliente179 Torres,1974-02-07 00:00:00,"Diagonal 119 #13-30",3410271584,cliente179.457@gmail.com,Barranquilla,168
CE,432130907,Cliente180 Pérez,1993-12-09 00:00:00,"Avenida 106 #86-33",3466744267,"",Pereira,169
TI,279003327,Cliente181 Méndez,1998-02-27 00:00:00,"Carrera 44 #68-22",3328379507,cliente181.55@yahoo.com,Cali,170
CC,119052961,Cliente182 Ramírez,1962-09-04 00:00:00,"Diagonal 68 #50-17",3729733992,"",Bogotá,171
PAS,205057025,Cliente183 Gómez,1993-01-09 00:00:00,"Carrera 65 #94-31",3752305542,cliente183.765@outlook.com,Bogotá,172
CE,728193103,Cliente184 Gómez,1998-04-25 00:00:00,"Avenida 52 #91-24",3187109583,cliente184.68@mail.com,Cali,173
CE,227620113,Cliente185 Méndez,2002-07-21 00:00:00,"Diagonal 102 #89-32",3868128744,cliente185.260@yahoo.com,Bucaramanga,174
CC,198882322,Cliente186 Torres,1987-10-13 00:00:00,"Avenida 2 #51-18",3162357711,"",Cali,175
CE,631711432,Cliente187 Ramírez,1988-10-15 00:00:00,"Diagonal 104 #31-33",3123507573,"",Medellín,176
CC,867584069,Cliente188 Méndez,1971-07-18 00:00:00,"Carrera 55 #53-12",3281666400,"",Cartagena,177
CE,437330493,Cliente189 Ramírez,1956-04-18 00:00:00,"Calle 126 #87-13",3892108169,cliente189.55@gmail.com,Pereira,178
CE,194128533,Cliente191 Pérez,1986-06-27 00:00:00,"Calle 115 #65-19",3393770259,cliente191.464@yahoo.com,Bogotá,179
TI,506446534,Cliente192 Gómez,1978-09-17 00:00:00,"Avenida 82 #27-40",3316825320,cliente192.549@mail.com,Bucaramanga,180
CC,381875857,Cliente193 Gómez,1984-02-26 00:00:00,"Carrera 33 #37-36",3574068348,cliente193.104@yahoo.com,Pereira,181
TI,318225444,Cliente195 Gómez,1972-12-18 00:00:00,"Calle 90 #96-9",3991706589,"",Barranquilla,182
PAS,917977825,Cliente196 Pérez,1990-11-21 00:00:00,"Carrera 76 #50-35",3480280338,cliente196.542@mail.com,Cartagena,183
PAS,120753477,Cliente197 Ramírez,1974-02-03 00:00:00,"Carrera 85 #85-42",3554407830,cliente197.725@outlook.com,Medellín,184
PAS,123379946,Cliente198 Gómez,1999-02-09 00:00:00,"Calle 15 #38-47",3686224378,"",Bucaramanga,185
CE,240731533,Cliente199 Ramírez,1989-05-02 00:00:00,"Calle 121 #90-10",3765991635,cliente199.967@mail.com,Cali,186
CC,100324662,Cliente200 Ramírez,1960-02-23 00:00:00,"Calle 5 #8-15",3943605750,"",Bucaramanga,187
CC,162990881,Cliente201 Pérez,1984-10-23 00:00:00,"Carrera 115 #38-48",3898536833,cliente201.99@yahoo.com,Barranquilla,188
TI,854818992,Cliente203 Méndez,1974-07-10 00:00:00,"Avenida 119 #26-48",3475392585,cliente203.606@outlook.com,Cali,189
PAS,623049029,Cliente204 Torres,1995-09-04 00:00:00,"Diagonal 142 #12-4",3153087238,"",Bogotá,190
CE,454546977,Cliente205 Pérez,2002-04-02 00:00:00,"Diagonal 15 #55-26",3579081436,"",Cartagena,191
CE,423549942,Cliente206 Méndez,1963-04-14 00:00:00,"Calle 22 #57-9",3843066977,"",Cali,192
CE,261127475,Cliente207 Gómez,1967-09-01 00:00:00,"Carrera 29 #90-50",3216580418,"",Bogotá,193
PAS,303522893,Cliente208 Pérez,1967-06-05 00:00:00,"Diagonal 80 #38-14",3427282261,cliente208.843@gmail.com,Bogotá,194
CC,155041313,Cliente209 Méndez,1951-12-23 00:00:00,"Diagonal 59 #22-38",3986405822,"",Pereira,195
PAS,494276351,Cliente210 Pérez,1983-06-10 00:00:00,"Diagonal 18 #19-7",3840434526,"",Bogotá,196
PAS,208492311,Cliente211 Ramírez,2003-08-27 00:00:00,"Carrera 98 #85-25",3429161248,cliente211.109@gmail.com,Bogotá,197
PAS,674749162,Cliente212 Gómez,1956-08-14 00:00:00,"Diagonal 72 #92-36",3415016739,"",Cartagena,198
CE,692027994,Cliente213 Pérez,1976-06-02 00:00:00,"Carrera 101 #6-30",3845913483,cliente213.745@mail.com,Pereira,199
CE,151023659,Cliente214 Pérez,1969-10-09 00:00:00,"Calle 143 #39-50",3672891454,cliente214.921@yahoo.com,Medellín,200
PAS,376896011,Cliente215 Pérez,1996-02-01 00:00:00,"Calle 98 #74-16",3474387834,"",Medellín,201
PAS,282839530,Cliente216 Torres,2003-05-19 00:00:00,"Carrera 8 #8-15",3201050501,"",Medellín,202
CE,854181446,Cliente217 Ramírez,1968-07-28 00:00:00,"Calle 125 #87-44",3942768743,cliente217.357@gmail.com,Barranquilla,203
PAS,183660284,Cliente218 Pérez,1965-08-02 00:00:00,"Carrera 34 #15-45",3395956005,"",Barranquilla,204
CE,313843692,Cliente219 Méndez,1964-04-20 00:00:00,"Carrera 61 #56-46",3855839605,cliente219.518@outlook.com,Cartagena,205
TI,390622988,Cliente220 Torres,2002-03-21 00:00:00,"Diagonal 50 #46-46",3135739084,"",Bucaramanga,206
TI,659660617,Cliente221 Torres,2000-07-03 00:00:00,"Carrera 133 #76-36",3404785341,cliente221.184@outlook.com,Cali,207
CC,555553048,Cliente222 Gómez,1972-01-21 00:00:00,"Calle 83 #84-10",3497112243,"",Bucaramanga,208
CE,105537833,Cliente223 Gómez,2000-11-05 00:00:00,"Diagonal 102 #39-5",3154288600,"",Cartagena,209
TI,161688374,Cliente224 Torres,1970-07-25 00:00:00,"Avenida 75 #46-34",3880710687,cliente224.375@yahoo.com,Pereira,210
CC,339732963,Cliente225 Ramírez,1956-05-26 00:00:00,"Carrera 11 #26-8",3651097876,cliente225.991@outlook.com,Medellín,211
CE,453755865,Cliente226 Pérez,1958-06-24 00:00:00,"Carrera 28 #18-40",3970571949,cliente226.160@outlook.com,Cartagena,212
CC,141275991,Cliente228 Ramírez,1994-11-09 00:00:00,"Carrera 13 #82-29",3359470217,"",Barranquilla,213
CC,484048635,Cliente230 Méndez,1997-07-13 00:00:00,"Diagonal 139 #19-4",3101665037,cliente230.325@outlook.com,Cartagena,214
